Accommodation_Type,Row_Type,Year,Share_Pct,Source_Report,Source_Table,Source_Sheet,Source_File
Total,Total,2023,100,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Total,Total,2024,100,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Relatives' & Friends' House,Accommodation type,2023,61.3,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Relatives' & Friends' House,Accommodation type,2024,60.4,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Hotel,Accommodation type,2023,22.3,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Hotel,Accommodation type,2024,21.7,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Chalet,Accommodation type,2023,3.1,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Chalet,Accommodation type,2024,2,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Apartment,Accommodation type,2023,3.9,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Apartment,Accommodation type,2024,4.7,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Homestay / Vacation Homes,Accommodation type,2023,6.7,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Homestay / Vacation Homes,Accommodation type,2024,8.6,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Rest House,Accommodation type,2023,2.7,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Rest House,Accommodation type,2024,2.6,Domestic Tourism Survey 2024: Publication Tables,"Table 12: Percentage Distribution of Tourists by Type of Accommodation, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
