Component,Component_Group,Row_Type,Year,Expenditure_RM_000,Expenditure_RM_Mil,Share_Pct,Source_Report,Source_Table,Source_Sheet,Source_File
A. Expenditure by Visitors,Visitor expenditure subtotal,Subtotal,2023,78676422,78676.422,92.6,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
A. Expenditure by Visitors,Visitor expenditure subtotal,Subtotal,2024,98446228.4947855,98446.22849478551,92.3,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Shopping,Visitor expenditure,Component,2023,30842715,30842.715,36.3,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Shopping,Visitor expenditure,Component,2024,39910477.0223009,39910.477022300896,37.4,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Automotive Fuel,Visitor expenditure,Component,2023,11226727,11226.727,13.2,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Automotive Fuel,Visitor expenditure,Component,2024,13507889.705934,13507.889705934,12.7,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Transport,Visitor expenditure,Component,2023,5691081,5691.081,6.7,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Transport,Visitor expenditure,Component,2024,7187187.29608785,7187.18729608785,6.7,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Food & Beverage,Visitor expenditure,Component,2023,13802774,13802.774,16.3,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Food & Beverage,Visitor expenditure,Component,2024,17342497.8168969,17342.4978168969,16.2,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Accommodation,Visitor expenditure,Component,2023,10653466,10653.466,12.5,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Accommodation,Visitor expenditure,Component,2024,11914438.7800169,11914.438780016899,11.2,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
"Pre-trip, Packages, Entrance Fees & Tickets",Visitor expenditure,Component,2023,3126434,3126.434,3.7,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
"Pre-trip, Packages, Entrance Fees & Tickets",Visitor expenditure,Component,2024,4147411.12120658,4147.41112120658,3.9,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Other Activities,Visitor expenditure,Component,2023,3333225,3333.225,3.9,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Other Activities,Visitor expenditure,Component,2024,4436326.75234234,4436.326752342339,4.2,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
B. Expenditure by Visited Households,Visited household expenditure subtotal,Subtotal,2023,6255703,6255.703,7.4,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
B. Expenditure by Visited Households,Visited household expenditure subtotal,Subtotal,2024,8299882.55510428,8299.88255510428,7.7,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Total Expenditure (A+B),Total expenditure,Total,2023,84932125,84932.125,100,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
Total Expenditure (A+B),Total expenditure,Total,2024,106746111.04989,106746.11104989,100,Domestic Tourism Survey 2024: Publication Tables,"Table 6: Expenditure of Domestic Visitors by Component, 2023 and 2024",6,Publication Table DTS 2024 (1).xlsx
