State,Rank,Destination,Year,Source_Report,Source_Table,Source_Sheet,Source_File
Johor,1,Paradigm Mall Johor Bahru,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Johor,2,Toppen Shopping Centre,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Johor,3,Legoland Malaysia,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Johor,4,Air Terjun Gunung Ledang,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Johor,5,"The Mall, Mid Valley Southkey",2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Perlis,1,Arked Niaga Padang Besar,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Perlis,2,Medan Ikan Bakar Kuala Perlis,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Perlis,3,Padang Waremart,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Perlis,4,Hutan Lipur Bukit Ayer,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Perlis,5,Menara Pandang Wang Kelian,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Kedah,1,Aman Central Mall,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Kedah,2,Amanjaya Mall,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Kedah,3,Pantai Cenang,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Kedah,4,Dataran Lang,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Kedah,5,Pantai Tanjung Dawai,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Selangor,1,IOI City Mall,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Selangor,2,Ikea Damansara,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Selangor,3,Sunway Pyramid,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Selangor,4,1 Utama Shopping Centre,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
Selangor,5,Batu Caves,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 8A: Top Five Destinations Most Visited by Domestic Visitors, 2024",8A,Publication Table DTS 2024 (1).xlsx
