Indicator,Year,Value,Unit,Annual_Change_Pct,Source_Report,Source_Table,Source_Sheet,Source_File
Total Expenditure,2017,83102.6097829999,RM million,11.1398630294356,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Total Expenditure,2018,92561.3417063294,RM million,11.3819914296656,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Total Expenditure,2019,103183.759714306,RM million,11.4760847370585,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Total Expenditure,2020,40424.3343341787,RM million,-60.8229682208662,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Total Expenditure,2021,18410.1937419723,RM million,-54.4576452644107,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Total Expenditure,2022,64080.2995819462,RM million,248.069664448198,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Total Expenditure,2023,84932.125,RM million,32.540149709176,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Total Expenditure,2024,106746.11104989,RM million,25.6840224472068,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Domestic Visitors,2017,73662.1183523372,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Domestic Visitors,2018,82741.3825491961,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Domestic Visitors,2019,92638.159,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Domestic Visitors,2020,38634.646976337,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Domestic Visitors,2021,17450.9799500578,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Domestic Visitors,2022,59216.9558714273,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Domestic Visitors,2023,78676.422,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Domestic Visitors,2024,98446.2284947855,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Visited Households,2017,9440.49143066275,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
Expenditure by Visited Households,2018,9819.95915713328,RM million,,Domestic Tourism Survey 2024: Publication Tables,"Table 1: Key Statistics of Domestic Tourism, 2017-2024",1,Publication Table DTS 2024 (1).xlsx
