Origin_State,Destination_State,Tourists_000,Is_Origin_Total,Is_Destination_Total,Year,Source_Report,Source_Table,Source_Sheet,Source_File
Malaysia,Malaysia,93445.323,TRUE,TRUE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Johor,9481.062,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Kedah,6854.418,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Kelantan,5863.78,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Melaka,6158.368,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Negeri Sembilan,5987.543,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Pahang,9525.838,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Pulau Pinang,4766.021,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Perak,10208.952,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Perlis,1262.039,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Selangor,9574.385,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Terengganu,4918.404,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Sabah,6081.485,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,Sarawak,5701.034,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,W.P. Kuala Lumpur,6216.3,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,W.P. Labuan,194.1,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Malaysia,W.P. Putrajaya,651.594,TRUE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Malaysia,11279.798,FALSE,TRUE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Johor,3704.714,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Kedah,196.667,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Kelantan,425.275,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Melaka,1528.012,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Negeri Sembilan,616.968,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Pahang,919.966,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Pulau Pinang,221.252,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Perak,403.301,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Perlis,95.567,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Selangor,1746.841,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
Johor,Terengganu,188.495,FALSE,FALSE,2024,Domestic Tourism Survey 2024: Publication Tables,"Table 10: Number of Tourists by State Visited, 2024",10,Publication Table DTS 2024 (1).xlsx
