Mode,Mode_Type,Year,Visitor_Type,Share_Pct,Source_Report,Source_Table,Source_Sheet,Source_File
Total,Total,2023,Visitors,100,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Total,Total,2023,Excursionists,100,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Total,Total,2023,Tourists,100,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Total,Total,2024,Visitors,100,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Total,Total,2024,Excursionists,100,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Total,Total,2024,Tourists,100,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Air,Aggregate mode,2023,Visitors,1.8,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Air,Aggregate mode,2023,Excursionists,0.1,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Air,Aggregate mode,2023,Tourists,4.8,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Air,Aggregate mode,2024,Visitors,2.1,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Air,Aggregate mode,2024,Excursionists,0.2,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Air,Aggregate mode,2024,Tourists,4.9,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Water,Aggregate mode,2023,Visitors,0.3,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Water,Aggregate mode,2023,Excursionists,0.3,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
Water,Aggregate mode,2023,Tourists,0.4,Domestic Tourism Survey 2024: Publication Tables,"Table 11: Percentage Distribution of Domestic Visitors by Mode of Transport, 2023 and 2024",11 & 12,Publication Table DTS 2024 (1).xlsx
