State,Year,Domestic_Visitors_000,Is_Total,Source_Report,Source_Table,Source_Sheet,Source_File
Johor,2017,13140.6397344478,FALSE,Domestic Tourism Survey 2024: Publication Tables,"Table 9: Number of Domestic Visitors by State Visited, 2017-2024",9,Publication Table DTS 2024 (1).xlsx
Johor,2018,13487.2379119749,FALSE,Domestic Tourism Survey 2024: Publication Tables,"Table 9: Number of Domestic Visitors by State Visited, 2017-2024",9,Publication Table DTS 2024 (1).xlsx
Johor,2019,14274,FALSE,Domestic Tourism Survey 2024: Publication Tables,"Table 9: Number of Domestic Visitors by State Visited, 2017-2024",9,Publication Table DTS 2024 (1).xlsx
Johor,2020,7243,FALSE,Domestic Tourism Survey 2024: Publication Tables,"Table 9: Number of Domestic Visitors by State Visited, 2017-2024",9,Publication Table DTS 2024 (1).xlsx
Johor,2021,3657.55,FALSE,Domestic Tourism Survey 2024: Publication Tables,"Table 9: Number of Domestic Visitors by State Visited, 2017-2024",9,Publication Table DTS 2024 (1).xlsx
Johor,2022,12376.202,FALSE,Domestic Tourism Survey 2024: Publication Tables,"Table 9: Number of Domestic Visitors by State Visited, 2017-2024",9,Publication Table DTS 2024 (1).xlsx
Johor,2023,15804.89,FALSE,Domestic Tourism Survey 2024: Publication Tables,"Table 9: Number of Domestic Visitors by State Visited, 2017-2024",9,Publication Table DTS 2024 (1).xlsx
Johor,2024,17138.338,FALSE,Domestic Tourism Survey 2024: Publication Tables,"Table 9: Number of Domestic Visitors by State Visited, 2017-2024",9,Publication Table DTS 2024 (1).xlsx
Kedah,2017,13304.534929663,FALSE,Domestic Tourism Survey 2024: Publication Tables,"Table 9: Number of Domestic Visitors by State Visited, 2017-2024",9,Publication Table DTS 2024 (1).xlsx
Kedah,2018,14480.018395565,FALSE,Domestic Tourism Survey 2024: Publication Tables,"Table 9: Number of Domestic Visitors by State Visited, 2017-2024",9,Publication Table DTS 2024 (1).xlsx
Kedah,2019,14831,FALSE,Domestic Tourism Survey 2024: Publication Tables,"Table 9: Number of Domestic Visitors by State Visited, 2017-2024",9,Publication Table DTS 2024 (1).xlsx
Kedah,2020,10108,FALSE,Domestic Tourism Survey 2024: Publication Tables,"Table 9: Number of Domestic Visitors by State Visited, 2017-2024",9,Publication Table DTS 2024 (1).xlsx
