Month,Month_Num,Visitors_2024,Visitors_2023,Growth_Pct,Source_Report,Source_Page
January,1,2431941,2084411,16.7,Malaysia Tourism Statistics in Brief 2024,9
February,2,2697941,1904725,41.6,Malaysia Tourism Statistics in Brief 2024,9
March,3,3136479,2230860,40.6,Malaysia Tourism Statistics in Brief 2024,9
April,4,2799026,2169139,29.0,Malaysia Tourism Statistics in Brief 2024,9
May,5,3004321,2255314,33.2,Malaysia Tourism Statistics in Brief 2024,9
June,6,3409290,2285786,49.2,Malaysia Tourism Statistics in Brief 2024,9
July,7,3524200,2670970,31.9,Malaysia Tourism Statistics in Brief 2024,9
August,8,3662108,2578031,42.1,Malaysia Tourism Statistics in Brief 2024,9
September,9,3112151,2611063,19.2,Malaysia Tourism Statistics in Brief 2024,9
October,10,3371216,2575393,30.9,Malaysia Tourism Statistics in Brief 2024,9
November,11,3007506,2540035,18.4,Malaysia Tourism Statistics in Brief 2024,9
December,12,3805306,3058581,24.4,Malaysia Tourism Statistics in Brief 2024,9
