State,Hotels_2024,Rooms_2024,Hotels_2023,Rooms_2023,AOR_2024,AOR_2023,AOR_Difference,Source_Report,Source_Page
Johor,552,36043,548,35208,52.3,50.7,1.6,Malaysia Tourism Statistics in Brief 2024,17
Kedah & Langkawi,328,18600,330,19029,46.6,43.4,3.2,Malaysia Tourism Statistics in Brief 2024,17
Kelantan,170,6362,169,6269,43.2,41.2,2.0,Malaysia Tourism Statistics in Brief 2024,17
Kuala Lumpur,464,63973,448,60872,62.6,59.1,3.5,Malaysia Tourism Statistics in Brief 2024,17
Labuan,50,2296,49,2272,37.0,33.3,3.7,Malaysia Tourism Statistics in Brief 2024,17
Melaka,354,20159,355,19961,45.4,44.7,0.7,Malaysia Tourism Statistics in Brief 2024,17
Negeri Sembilan,166,10856,161,10643,42.2,41.0,1.2,Malaysia Tourism Statistics in Brief 2024,17
Pahang,501,34323,503,33387,75.6,74.1,1.5,Malaysia Tourism Statistics in Brief 2024,17
Perak,481,19299,487,19763,46.9,47.3,-0.4,Malaysia Tourism Statistics in Brief 2024,17
Perlis,44,1489,44,1444,41.0,42.2,-1.2,Malaysia Tourism Statistics in Brief 2024,17
Pulau Pinang,376,26692,364,25543,56.8,52.9,3.9,Malaysia Tourism Statistics in Brief 2024,17
Putrajaya,13,2580,12,2508,56.5,55.0,1.5,Malaysia Tourism Statistics in Brief 2024,17
Sabah,540,27208,532,26706,51.6,49.0,2.6,Malaysia Tourism Statistics in Brief 2024,17
Sarawak,522,27913,503,26592,47.7,46.0,1.7,Malaysia Tourism Statistics in Brief 2024,17
Selangor,460,34883,444,32656,51.6,49.9,1.7,Malaysia Tourism Statistics in Brief 2024,17
Terengganu,256,11190,255,10927,46.3,44.8,1.5,Malaysia Tourism Statistics in Brief 2024,17
