state_code,state,state_report_name,domestic_2024,domestic_2023,domestic_growth_pct,international_2024,international_2023,international_growth_pct,total_2024,total_2023,total_growth_pct,international_million,source
KUL,Kuala Lumpur,KUALA LUMPUR,9781082,9712689,0.7,12129440,8701780,39.4,21910522,18414469,19.0,12.129,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
PJY,Putrajaya,PUTRAJAYA,555827,508102,9.4,221593,151626,46.1,777420,659728,17.8,0.222,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
SGR,Selangor,SELANGOR,6131477,5985054,2.4,3349909,2787168,20.2,9481386,8772223,8.1,3.350,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
PNG,Penang,PULAU PINANG,5236584,4795567,9.2,3000488,2476959,21.1,8237072,7272526,13.3,3.000,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
PRK,Perak,PERAK,4186503,4274117,-2.0,970611,867665,11.9,5157114,5141782,0.3,0.971,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
KDH,Kedah,KEDAH,3237364,2761947,17.2,1985063,1561751,27.1,5222427,4323697,20.8,1.985,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
PLS,Perlis,PERLIS,313443,317353,-1.2,8567,6730,27.3,322010,324083,-0.6,0.009,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
NSN,Negeri Sembilan,NEGERI SEMBILAN,2071056,2097075,-1.2,459715,340372,35.1,2530771,2437448,3.8,0.460,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
MLK,Melaka,MELAKA,3392342,3363245,0.9,1516524,1538630,-1.4,4908866,4901875,0.1,1.517,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
JHR,Johor,JOHOR,7394268,6055964,22.1,3003542,3531649,-15.0,10397810,9587613,8.5,3.004,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
PHG,Pahang,PAHANG,11550656,10222376,13.0,2931858,3212597,-8.7,14482514,13434973,7.8,2.932,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
TRG,Terengganu,TERENGGANU,2412518,2378908,1.4,281579,206327,36.5,2694097,2585235,4.2,0.282,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
KTN,Kelantan,KELANTAN,1389452,1343953,3.4,102252,59273,72.5,1491704,1403226,6.3,0.102,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
SBH,Sabah,SABAH,4257096,4489761,-5.2,3135973,2221221,41.2,7393069,6710982,10.2,3.136,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
LBN,Labuan,LABUAN,399785,591083,-32.4,51978,77075,-32.6,451763,668158,-32.4,0.052,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
SWK,Sarawak,SARAWAK,5739958,5402584,6.2,1445113,1218196,18.6,7185071,6620780,8.5,1.445,"Malaysia Tourism Statistics in Brief 2024, pp. 18-19; Strategic Planning Division, Tourism Malaysia"
