Rank,Country,Flag,Flag_Path,Arrivals_2024,Arrivals_2023,Growth_Pct,Source_Report,Source_Page
1,Singapore,SG,assets/flags/singapore.svg,18855680,14828553,27.2,Malaysia Tourism Statistics in Brief 2024,11
2,Indonesia,ID,assets/flags/indonesia.svg,4145127,3479392,19.1,Malaysia Tourism Statistics in Brief 2024,11
3,China,CN,assets/flags/china.svg,3725894,1613312,130.9,Malaysia Tourism Statistics in Brief 2024,11
4,Thailand,TH,assets/flags/thailand.svg,2268182,2300158,-1.4,Malaysia Tourism Statistics in Brief 2024,11
5,Brunei,BN,assets/flags/brunei.svg,1732119,1116211,55.2,Malaysia Tourism Statistics in Brief 2024,11
6,India,IN,assets/flags/india.svg,1365387,773221,76.6,Malaysia Tourism Statistics in Brief 2024,11
7,Philippines,PH,assets/flags/philippines.svg,571533,461787,23.8,Malaysia Tourism Statistics in Brief 2024,11
8,South Korea,KR,assets/flags/south_korea.svg,553165,465617,18.8,Malaysia Tourism Statistics in Brief 2024,11
9,Australia,AU,assets/flags/australia.svg,447785,400909,11.7,Malaysia Tourism Statistics in Brief 2024,11
10,Chinese Taipei,TPE,assets/flags/chinese_taipei.svg,423117,311437,35.9,Malaysia Tourism Statistics in Brief 2024,11
11,United Kingdom,UK,,390035,306926,27.1,Malaysia Tourism Statistics in Brief 2024,11
12,Japan,JP,,367182,277559,32.3,Malaysia Tourism Statistics in Brief 2024,11
13,Vietnam,VN,,366525,374181,-2.0,Malaysia Tourism Statistics in Brief 2024,11
14,United States,US,,304880,257533,18.4,Malaysia Tourism Statistics in Brief 2024,11
15,France,FR,,183872,132311,39.0,Malaysia Tourism Statistics in Brief 2024,11
16,Germany,DE,,170712,137977,23.7,Malaysia Tourism Statistics in Brief 2024,11
17,Bangladesh,BD,,154596,153093,1.0,Malaysia Tourism Statistics in Brief 2024,11
18,Myanmar,MM,,147133,102587,43.4,Malaysia Tourism Statistics in Brief 2024,11
19,Russia,RU,,130998,129514,1.1,Malaysia Tourism Statistics in Brief 2024,11
20,Pakistan,PK,,106388,111245,-4.4,Malaysia Tourism Statistics in Brief 2024,11
