Metric,Year,Value,Unit,Growth_Pct,Source_Report,Source_Page,Notes
Domestic visitors,2022,171.6,million,,Tourism Malaysia Annual Report 2023,28,Domestic Tourism Survey 2023 by DOSM cited in report
Domestic visitors,2023,213.7,million,24.6,Tourism Malaysia Annual Report 2023,28,Domestic Tourism Survey 2023 by DOSM cited in report
Domestic tourism spending,2022,64.1,RM billion,,Tourism Malaysia Annual Report 2023,28,Domestic Tourism Survey 2023 by DOSM cited in report
Domestic tourism spending,2023,84.9,RM billion,32.5,Tourism Malaysia Annual Report 2023,28,Domestic Tourism Survey 2023 by DOSM cited in report
International tourists,2023,20141846,persons,100.0,Tourism Malaysia Annual Report 2023,30,Tourism Malaysia with Malaysian Immigration Department
Tourism revenue,2023,71.3,RM billion,152.6,Tourism Malaysia Annual Report 2023,30,Tourism Malaysia with Malaysian Immigration Department
Per capita spending,2023,3540.32,RM,26.3,Tourism Malaysia Annual Report 2023,30,Tourism Malaysia with Malaysian Immigration Department
Foreign visitors,2023,28964308,persons,,Malaysia Tourism Statistics in Brief 2024,9,Foreign visitor total in monthly table
Foreign visitors,2024,37961485,persons,31.1,Malaysia Tourism Statistics in Brief 2024,9,Foreign visitor total in monthly table
Foreign visitor expenditure,2023,74291.56,RM million,,Malaysia Tourism Statistics in Brief 2024,12,Visitor expenditure total
Foreign visitor expenditure,2024,106783.11,RM million,43.7,Malaysia Tourism Statistics in Brief 2024,12,Visitor expenditure total
Total hotel guests,2022,73947777,persons,,Tourism Malaysia Annual Report 2023,34,Study on the Average Rate of Paid Accommodations
Total hotel guests,2023,93258798,persons,26.1,Tourism Malaysia Annual Report 2023,34,Study on the Average Rate of Paid Accommodations
International hotel guests,2022,13899153,persons,,Tourism Malaysia Annual Report 2023,34,Study on the Average Rate of Paid Accommodations
International hotel guests,2023,28959021,persons,108.4,Tourism Malaysia Annual Report 2023,34,Study on the Average Rate of Paid Accommodations
