Item,Value_2024_RM_Mil,Value_2023_RM_Mil,Growth_Pct,Share_2024,Share_2023,Source_Report,Source_Page
Shopping,39895.38,28848.93,38.3,37.4,38.8,Malaysia Tourism Statistics in Brief 2024,13
Accommodation,19322.20,13406.00,44.1,18.1,18.0,Malaysia Tourism Statistics in Brief 2024,13
Food & Beverages,17188.92,11272.73,52.5,16.1,15.2,Malaysia Tourism Statistics in Brief 2024,13
International Airfares,8689.88,3779.35,129.9,8.1,5.1,Malaysia Tourism Statistics in Brief 2024,13
Local Transportation,6079.64,4984.88,22.0,5.7,6.7,Malaysia Tourism Statistics in Brief 2024,13
Medical,5055.84,3542.73,42.7,4.7,4.8,Malaysia Tourism Statistics in Brief 2024,13
Organised Tour,4089.35,3137.57,30.3,3.8,4.2,Malaysia Tourism Statistics in Brief 2024,13
Domestic Airfares,2555.85,1925.33,32.7,2.4,2.6,Malaysia Tourism Statistics in Brief 2024,13
Entertainment,2316.73,2761.41,-16.1,2.2,3.7,Malaysia Tourism Statistics in Brief 2024,13
Fuel,1113.50,273.70,306.8,1.0,0.4,Malaysia Tourism Statistics in Brief 2024,13
Sports,154.89,105.84,46.3,0.1,0.1,Malaysia Tourism Statistics in Brief 2024,13
Others,320.92,253.08,26.8,0.3,0.3,Malaysia Tourism Statistics in Brief 2024,13
