Rank,Country,Receipts_2024_RM_Mil,Receipts_2023_RM_Mil,Source_Report,Source_Page
1,Singapore,27941.65,21575.31,Malaysia Tourism Statistics in Brief 2024,14
2,China,20866.57,8881.23,Malaysia Tourism Statistics in Brief 2024,14
3,Indonesia,15323.27,11875.06,Malaysia Tourism Statistics in Brief 2024,14
4,India,6112.06,3408.61,Malaysia Tourism Statistics in Brief 2024,14
5,Thailand,3993.81,3238.50,Malaysia Tourism Statistics in Brief 2024,14
6,Brunei,3235.10,2099.56,Malaysia Tourism Statistics in Brief 2024,14
7,South Korea,2901.45,2302.97,Malaysia Tourism Statistics in Brief 2024,14
8,Australia,2488.20,2114.36,Malaysia Tourism Statistics in Brief 2024,14
9,United Kingdom,2450.48,1880.29,Malaysia Tourism Statistics in Brief 2024,14
10,Chinese Taipei,2334.84,1624.42,Malaysia Tourism Statistics in Brief 2024,14
11,Japan,1934.97,1382.73,Malaysia Tourism Statistics in Brief 2024,14
12,Philippines,1804.38,1370.96,Malaysia Tourism Statistics in Brief 2024,14
13,United States,1656.75,1308.79,Malaysia Tourism Statistics in Brief 2024,14
14,Vietnam,1306.55,1299.92,Malaysia Tourism Statistics in Brief 2024,14
15,France,924.86,623.52,Malaysia Tourism Statistics in Brief 2024,14
16,Germany,887.54,703.01,Malaysia Tourism Statistics in Brief 2024,14
17,Russia,628.69,594.55,Malaysia Tourism Statistics in Brief 2024,14
18,Pakistan,547.04,543.13,Malaysia Tourism Statistics in Brief 2024,14
19,Canada,525.27,409.72,Malaysia Tourism Statistics in Brief 2024,14
20,Netherlands,494.52,390.44,Malaysia Tourism Statistics in Brief 2024,14
